[['London'], ['noun'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['is'], ['article'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['the'], ['preposition'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['capital'], ['noun'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['and'], ['conjunction'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['most'], ['article'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['populous'], ['adjective'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['city'], ['noun'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['of'], ['preposition'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['England'], ['noun'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['and'], ['conjunction'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['the'], ['preposition'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['United'], ['noun'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['Kingdom'], ['noun'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['be'], ['noun'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['capitals'], ['article'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[["'n'"], ['preposition'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['many'], ['noun'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[['cities'], ['conjunction'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
[["'n'"], ['article'], ['Standing on the River Thames in the south east of the island of Great Britain,London has been a major settlement for two millennia']]
